attributes,freq
car,6327
year,3129
time,2842
new,2614
good,2040
dealer,2009
mile,1902
day,1833
lot,1648
price,1624
vehicle,1602
thing,1470
week,1333
wife,1308
way,1302
old,1298
month,1285
last,1285
nice,1258
work,1068
much,984
model,958
today,942
order,925
tire,900
drive,895
many,876
engine,857
truck,856
sure,823
sale,813
people,808
big,790
first,777
couple,772
market,768
color,759
issue,755
great,744
seat,736
next,721
guy,720
part,711
lease,709
point,707
tax,706
deal,700
little,697
road,690
right,690
bit,690
money,647
bad,645
better,638
long,623
end,616
front,610
wheel,610
home,593
option,584
black,581
service,576
trip,557
door,556
maverick,545
company,540
number,524
problem,522
garage,513
stuff,512
low,512
local,512
oil,511
place,510
least,509
gas,505
side,505
battery,503
top,502
job,501
change,498
high,496
dealership,493
course,483
hour,481
house,465
full,465
line,461
yesterday,461
interior,454
able,453
firefighter,442
need,441
trade,440
test,440
different,435
speed,429
driver,425
enough,420
real,419
system,414
cost,408
case,406
available,402
morning,400
light,398
night,396
owner,396
fun,393
hybrid,389
best,389
son,388
rate,388
warranty,386
happy,383
value,373
idea,371
worth,370
cheap,368
reason,365
red,365
friend,359
business,359
current,358
sport,353
jeep,351
le,350
sticker,350
close,347
rear,347
state,345
area,344
store,344
power,343
payment,342
package,342
one,342
love,335
small,334
use,334
check,332
unit,328
credit,327
interesting,325
mileage,324
snow,324
fee,320
due,320
tesla,318
minute,316
range,315
extra,312
charge,310
phone,309
size,306
similar,305
second,304
card,304
plate,300
tjc,299
blue,296
tomorrow,294
manual,292
list,290
brake,290
folk,289
winter,288
fine,287
inventory,287
wrong,286
thanks,283
office,282
weekend,280
life,280
pay,279
experience,278
plan,274
short,274
interest,273
call,273
bed,272
family,269
window,269
level,267
parking,266
kid,265
congrats,261
higher,261
customer,260
’d,258
expensive,257
white,257
repair,255
buyer,254
person,253
purchase,252
free,249
video,249
question,249
guess,248
original,248
ride,243
condition,242
brand,241
insurance,239
school,239
email,238
town,235
picture,233
offer,233
auto,233
room,232
cash,231
factory,230
look,230
space,230
shop,230
roadburner,229
amount,227
cool,226
type,226
sense,226
’s,226
several,225
move,225
start,225
water,223
buy,221
whole,221
hand,221
thought,221
term,220
lower,220
delivery,220
replacement,217
rental,217
title,216
sound,216
open,215
pic,215
others,213
choice,212
electric,212
performance,211
manufacturer,211
half,210
quick,210
head,209
auction,209
figure,208
tifighter,208
wagon,208
stock,208
mini,206
world,205
mine,204
possible,204
true,202
golf,201
ford,201
crazy,200
story,200
easy,199
production,198
roof,198
discount,198
summer,198
transmission,197
perfect,197
decent,197
name,197
deposit,196
bid,195
belt,195
qbrozen,194
early,193
large,193
chip,192
post,191
highway,191
clean,190
bunch,190
fuel,189
hard,189
difference,189
wrangler,188
premium,188
hope,186
mind,186
normal,185
driving,185
sedan,181
comfortable,181
ready,181
air,179
profit,178
station,178
version,178
run,178
foot,177
turbo,177
trim,177
mpg,177
driveway,176
maintenance,176
sensor,176
game,175
mph,175
bank,175
msrp,174
computer,173
suv,173
luck,173
standard,172
civic,172
traffic,172
kind,170
glad,170
site,170
group,169
leather,169
man,168
passenger,168
appointment,168
care,167
sprinter,167
wonder,167
fit,165
paint,165
design,164
body,164
charger,164
interested,164
supply,163
older,163
afternoon,162
tank,162
key,161
show,160
help,159
previous,159
honest,159
huge,159
punch,158
process,158
smaller,158
highlander,158
report,157
feature,156
control,155
total,155
sell,155
regular,155
update,154
mode,154
gray,153
plenty,153
quality,153
daughter,153
talk,151
fleet,151
turn,151
pickup,150
date,150
cheaper,149
damage,149
eye,148
account,148
age,148
average,147
weather,146
steering,146
broker,146
chance,146
loan,146
hot,145
rivian,145
surprised,144
step,144
fire,143
base,143
think,143
situation,141
willing,141
thinking,141
carmax,141
loss,141
cover,139
bumper,139
late,138
shopping,138
automatic,138
piece,137
stop,137
easier,136
decision,136
season,136
city,136
honda,136
news,136
license,135
pedal,135
worse,134
outback,134
single,133
dog,133
exhaust,132
sign,132
balance,132
know,131
timing,131
plug,131
cart,131
review,130
newer,130
sorry,130
pilot,130
convertible,130
plastic,129
back,128
motor,128
bigger,128
spring,128
set,128
finance,128
spot,127
tonight,127
sandman,126
tool,126
comment,124
mom,123
andres,123
hood,123
note,123
rwd,123
seller,123
flip,122
reasonable,122
bug,122
sister,122
rust,122
ton,122
shortage,121
fact,121
style,121
track,120
buying,120
risk,120
website,120
chain,119
capacity,119
fast,118
country,118
trailer,118
period,118
pricing,118
lucky,118
suspension,117
member,117
bill,117
bronco,117
additional,117
overall,117
curious,116
salesman,116
fix,116
carfax,116
tech,115
minor,114
spec,114
material,114
stick,113
example,113
location,113
tv,113
private,113
paperwork,112
floor,112
ice,112
fair,112
drop,111
park,111
moment,111
audio,111
equity,110
inspection,110
future,110
dollar,110
gti,110
dark,110
word,109
fluid,109
stickguy,108
green,108
center,108
past,108
actual,107
funny,107
bat,107
third,106
suspect,106
inch,106
special,106
item,106
sda,106
series,106
code,105
super,105
noise,105
bolt,105
ad,105
product,105
luxury,105
cold,104
bottom,104
shift,104
larger,103
photo,103
major,103
accident,103
street,103
pick,102
wrx,102
correct,102
slow,101
matter,101
worst,101
rare,101
multiple,101
team,101
forum,101
board,101
build,100
weird,100
result,99
panel,99
shipping,99
block,99
reliability,99
clear,99
class,99
prius,99
bar,99
gallon,99
poor,98
memory,98
claim,98
generation,98
grand,98
quarter,98
response,98
middle,98
ev,98
record,97
beautiful,97
heavy,97
combo,97
smooth,97
flat,97
beach,97
button,97
mechanic,96
online,96
awd,96
leak,96
tough,95
serious,95
enterprise,95
solid,95
put,95
sharp,95
screen,95
music,94
exterior,94
wash,94
spare,93
box,93
addition,93
mid,93
rd,93
paper,93
quiet,93
bag,93
replace,92
certain,92
rest,92
mess,92
final,92
chevy,92
assume,91
history,91
message,91
view,91
airport,91
none,91
evening,91
information,91
hole,91
favorite,90
ship,89
safe,89
ram,89
parent,89
switch,89
manager,88
cylinder,88
employee,88
increase,88
mi,88
ground,88
diesel,88
property,88
law,87
well,87
party,87
metal,87
opinion,87
difficult,87
detail,87
entire,86
nut,86
residual,86
heater,86
rule,85
program,85
general,85
cruise,85
dash,85
lane,85
want,84
valve,84
polestar,84
german,84
simple,84
important,84
particular,84
exact,84
storage,83
heat,83
limited,83
limit,83
basic,83
platform,83
comp,82
trouble,82
wood,82
internet,82
liner,82
pound,82
covid,82
cap,82
attorney,82
soft,82
earlier,81
odd,81
fan,81
factor,81
doubt,81
biggest,81
decade,81
dead,81
accessory,81
recent,81
recall,80
row,80
positive,80
break,80
grocery,80
dad,79
corner,79
live,79
advantage,79
woman,79
lunch,78
acura,78
annual,78
incentive,78
common,78
wish,78
bos,77
budget,77
position,77
shape,77
data,77
likely,77
torque,77
significant,77
gear,77
pack,77
agent,77
find,76
notice,76
boy,76
straight,76
feel,76
search,76
excellent,76
info,76
sandy,76
coupe,76
daily,76
runner,76
lol,75
pump,75
sort,75
labor,75
personal,75
comfort,75
camera,75
opportunity,75
double,75
building,75
transaction,75
demand,74
cargo,74
imagine,74
neighbor,74
return,74
physical,74
trigger,74
article,73
wind,73
fusion,73
club,73
watch,73
safety,73
self,73
prelude,73
plant,72
young,72
windshield,72
ticket,72
buck,72
research,72
yellow,72
pensfan,72
ridiculous,71
vroom,71
pressure,71
allocation,71
monthly,71
schedule,71
roll,70
touch,70
worker,70
direction,70
tag,70
purpose,70
mean,70
amg,70
trunk,70
upgrade,70
text,70
address,70
silver,69
warm,69
tell,69
rain,69
loose,69
non,69
finger,69
leasing,69
access,69
mortgage,69
bet,68
project,68
pain,68
farmer,68
reliable,68
bargain,68
visit,68
elantra,68
port,68
moonroof,68
filter,68
loaner,68
hold,67
bonus,67
pad,67
heart,67
book,67
answer,67
percent,67
sunroof,67
inflation,67
pocket,66
heck,66
read,66
lack,66
longer,66
event,66
smart,66
era,66
hatch,66
lifetime,66
gasket,66
minimum,66
clue,66
link,66
registration,66
pajero,66
acceleration,65
latest,65
failure,65
hate,65
main,65
temp,65
yard,65
mark,65
frame,65
amazing,65
rent,65
rough,65
cooper,64
load,64
leave,64
combination,64
push,64
signature,64
import,64
buyout,63
modern,63
ownership,63
cell,63
wall,63
suit,63
route,63
reservation,63
dinner,63
com,63
classic,62
younger,62
complete,62
land,62
match,62
impressive,62
effort,62
strong,62
death,61
department,61
attention,61
weight,61
escape,61
awesome,61
mercedes,61
forester,61
challenge,61
entry,61
cent,61
comparison,60
busy,60
coolant,60
form,60
duty,60
travel,60
fender,60
birthday,60
attractive,60
fall,60
present,60
hassle,60
terrible,60
wide,60
share,60
depreciation,59
setup,59
contact,59
swap,59
practical,59
toy,59
remote,59
typical,59
basement,59
economy,59
jetta,59
neighborhood,58
ceramic,58
conversation,58
sad,58
status,58
necessary,58
seal,58
edge,58
shore,58
lexus,58
automotive,58
separate,58
volume,58
showroom,57
mention,57
edit,57
shot,57
dozen,57
worry,57
selling,57
youtube,56
closer,56
popular,56
lead,56
later,56
north,56
cat,56
fewer,56
mirror,56
initial,56
retail,56
saving,55
commercial,55
pandemic,55
mother,55
supra,55
government,55
highest,55
usb,55
food,55
relative,54
iirc,54
cooler,54
rebate,54
face,54
deep,54
custom,54
careful,54
victim,54
shifter,54
tape,54
glc,54
tread,54
obvious,53
carplay,53
shorter,53
