date,user_id,message
2022-01-01 03:53:00,benjaminh,"['\nAlthough the acceleration times in most car magazines are somewhat bogus, they are still useful for comparison. Anyway, Car and Driver has just tested a Maverick 2.0 awd, and they got a 0-60 time of 5.9, which is not that far from a base BMW 330i at 5.6. Anyway, for the money the Maverick is a fast vehicle.', 'stickguy: Did you end up going for the 0% financing? If so, those payments of c. 750 a month are steep, but the equity will obviously build up very quickly. Even right now you could probably sell it for several thousand more than what you bought it for. ', 'The latest I heard on the chip shortage is that it will only slowly abate in 2022. According to one article I saw, things aren\'t likely to truly get back to ""normal,"" whatever that is, probably until the second half of 2023. If true, this will likely mean that there won\'t be a sudden collapse of car prices. With all the lost production and pent up demand we\'ve got, used and new vehicle prices are likely to remain high for the first half of 2022, and then only slowly start to decline after that. And so in 6 months or so when your Maverick hybrid arrives you should still be able to pocket a handy profit on your 2.0 Maverick as you make the trade. ']"
2022-01-01 03:57:00,tjc78,"['\n', '\n', '\n', '\n']"
2022-01-01 04:08:00,tjc78,"['\n', '\n', '\n']"
2022-01-01 04:48:00,graphicguy,"['\nCongrats ', ' ……very cool! ']"
2022-01-01 06:03:00,au1994,"['\nHappy New Year all!', 'Congrats ', '. I really, really like that! ']"
2022-01-01 06:18:00,stickguy,"['\n', '\n', '\n']"
2022-01-01 07:20:00,carnaught,"['\n', '\nDitto. Nice looking truck!', ' ']"
2022-01-01 07:44:00,rayainsw,"['\nstickguy - ', '""after 30 miles, I am impressed so far!""', 'Congratulations!', 'Hope you enjoy it ', 'for at least a month!', '- Ray', 'CCBA reference... ']"
2022-01-01 08:15:00,laurasdada,"['\n', '\n', '\n', 'Does she also like movies about Gladiators? ']"
2022-01-01 08:31:00,oldfarmer50,"['\nDoes anybody have a spare $26k I can borrow?', ' ']"
2022-01-01 08:33:00,oldfarmer50,"['\n', '\nAre you keeping it or flipping it? ']"
2022-01-01 08:44:00,stickguy,"['\ndepends. are you making an offer? Cash talks you know!', 'I will decide when the hybrid comes in (I am guess Memorial day at the earliest) if I want to trade for that. Will depend on how I like it, and what the $ situation is. Of course, if something else pops up I want (like an Integra) and they make a good enough offer, can swap it for something else.', 'but I assume I will keep it for a while. ']"
