brand,freq
ford,801
bmw,648
jeep,484
tesla,395
toyota,388
honda,379
audi,329
hyundai,254
acura,245
nissan,187
gm,172
subaru,159
rivian,159
kia,158
pilot,133
ram,111
mazda,107
infiniti,104
cadillac,96
polestar,92
lexus,89
ac,87
porsche,77
google,71
chrysler,68
lincoln,64
opel,63
buick,56
rover,50
fiat,49
genesis,48
dodge,45
saturn,42
austin,41
continental,37
king,32
pontiac,31
suzuki,26
chevrolet,26
force,25
delta,25
oldsmobile,24
moon,23
ferrari,21
star,19
saab,19
volkswagen,17
micro,17
cord,17
tvs,16
gmc,16
stellantis,15
bugatti,14
maserati,14
bentley,14
isuzu,13
plymouth,13
lamborghini,11
russell,10
peugeot,10
samsung,10
jaguar,10
willys,10
eagle,9
alpine,8
premier,8
lotus,8
brush,8
cts,7
dome,7
gem,7
jackson,7
brooks,6
datsun,6
umm,6
daewoo,6
mclaren,6
srt,6
passport,5
aero,5
bitter,5
mg,5
bristol,5
edsel,5
alpina,4
fuso,4
bertone,4
rapid,4
yugo,4
mercury,4
mitchell,4
regal,4
stanley,4
renault,3
ducati,3
iso,3
zagato,3
fca,3
daihatsu,3
kawasaki,3
yamaha,3
vauxhall,3
daimler,3
triumph,3
eldorado,3
chandler,3
peerless,3
derby,2
nag,2
hero,2
tmc,2
lancia,2
singer,2
fisker,2
pierce,2
amc,2
geo,2
lafayette,2
lexington,2
packard,2
holden,1
steyr,1
sin,1
beaumont,1
dennis,1
dynasty,1
monarch,1
apollo,1
borgward,1
abarth,1
eunos,1
martini,1
tvr,1
alvis,1
marcos,1
freightliner,1
karma,1
mack,1
polaris,1
shelby,1
columbia,1
essex,1
gardner,1
hudson,1
hummer,1
kaiser,1
nash,1
overland,1
