verbs,freq
say,12305
get,6129
go,4409
think,3203
look,2658
make,2586
take,2345
drive,2188
see,2081
know,2042
use,1923
want,1915
buy,1873
come,1605
seem,1525
find,1493
’s,1387
need,1361
sell,1315
give,1167
keep,1147
tell,1058
put,1041
pay,1013
try,952
work,946
start,896
ask,854
do,781
leave,731
wait,599
run,594
feel,583
’m,576
call,572
offer,561
happen,556
guess,534
move,533
replace,525
saw,492
hear,480
mean,461
consider,454
pick,452
sit,451
show,450
like,443
end,433
add,433
build,424
remember,416
turn,414
stop,411
include,398
check,397
let,384
sound,379
decide,376
pull,375
hit,368
assume,365
love,361
live,357
set,355
bring,349
lose,348
hold,346
charge,343
expect,337
order,334
read,330
spend,327
change,325
mention,323
send,318
believe,310
agree,305
miss,304
own,303
speak,298
arrive,290
talk,290
drop,283
base,273
pass,266
lease,246
follow,243
notice,236
break,235
help,232
fix,230
require,228
cover,227
list,226
watch,224
hop,216
play,215
suppose,213
stay,213
compare,206
figure,205
’re,203
instal,203
learn,202
felt,201
save,196
enjoy,194
post,194
allow,188
cost,187
remove,184
fill,180
realize,179
handle,179
appear,178
become,173
continue,166
prefer,166
walk,165
meet,163
wear,162
receive,158
deal,156
deliver,155
fall,148
cause,146
plan,144
provide,143
reach,143
update,142
stick,141
understand,141
throw,139
trade,136
remind,135
open,133
return,131
fit,130
depend,127
catch,127
purchase,126
accord,125
forget,124
point,123
price,123
grow,122
cut,121
close,121
flip,120
write,120
suggest,120
equip,118
wonder,118
tend,117
fly,116
report,116
extend,115
relate,114
tempt,113
limit,113
rent,113
lead,112
wish,112
’ve,111
plug,110
clean,109
explain,106
blow,105
sign,105
rid,104
avoid,103
choose,103
push,102
park,102
share,100
schedule,99
accept,99
state,99
stand,98
care,98
cross,96
trim,96
roll,94
place,94
cancel,93
imagine,92
recall,92
increase,92
manage,91
fail,90
worry,90
bother,90
swap,89
appreciate,89
involve,88
time,88
remain,87
eat,87
ride,87
hate,87
maintain,86
jump,86
tow,85
beat,85
register,85
burn,85
switch,85
matter,84
apply,83
hope,83
count,83
begin,83
upgrade,83
serve,82
knock,82
win,81
gon,80
issue,80
quote,80
pop,79
load,78
surprise,78
complain,78
recommend,77
exist,76
ship,76
retire,76
note,75
face,74
total,74
produce,73
listen,72
carry,72
improve,71
design,71
concern,70
ai,69
last,69
install,68
cool,68
combine,67
visit,67
thank,66
head,66
result,66
travel,66
heat,65
leak,64
regard,64
shoot,64
confirm,64
bet,64
indicate,63
hurt,63
punch,62
bite,62
wash,62
teach,62
answer,62
test,61
suffer,60
raise,60
back,59
mind,59
bid,59
tour,58
finish,58
hat,58
kick,58
discuss,58
release,58
die,57
fun,56
experience,55
hide,54
settle,54
screw,54
discover,53
clutch,53
hang,53
scratch,53
respond,53
decline,53
locate,53
rebuild,53
adjust,53
track,52
grant,52
attach,51
admit,51
grab,51
click,51
jeep,51
collect,51
pump,51
acquire,51
mount,50
shop,50
create,50
connect,50
book,50
hire,49
recharge,49
lock,48
bump,48
range,48
steer,48
protect,48
finance,47
edmunds,47
suck,47
operate,47
lack,46
claim,46
qualify,46
average,46
draw,46
refuse,46
invest,45
rat,45
lot,45
fight,44
inquire,44
step,44
steal,44
impress,43
perform,43
crack,43
reply,43
kill,43
power,43
optioned,43
browse,43
shut,43
predict,42
enter,42
hand,42
shift,42
prove,42
strand,42
dig,41
drivetrain,41
paint,41
approve,41
seat,41
challenge,41
mess,41
repair,41
bear,41
clear,40
kid,40
amuse,40
curb,40
lean,40
waste,40
rise,40
submit,40
intend,40
join,39
laugh,39
affect,39
feature,39
ignore,39
wake,39
chat,39
reserve,39
occur,39
rip,39
float,39
lower,39
rdx,39
appeal,38
search,38
top,38
fold,38
fell,38
mark,37
service,37
insist,37
reduce,37
expire,36
subie,36
trust,36
lie,36
doubt,36
focus,36
transfer,35
force,35
tailgate,35
diagnose,35
sort,34
resolve,34
lay,34
approach,34
convert,34
annoy,34
garage,34
tear,33
disagree,33
hurry,33
light,33
roof,33
guarantee,33
support,33
await,33
shock,33
assign,33
brand,33
select,33
import,33
cheat,33
email,32
struggle,32
welcome,32
strike,32
address,32
control,32
describe,31
darn,31
estimate,31
solve,31
maverick,31
couple,31
generate,31
complete,31
develop,31
fire,30
touch,30
overprice,30
confuse,30
eliminate,30
refer,30
announce,30
afford,30
display,30
spot,30
file,30
title,30
promise,29
slide,29
calculate,29
dump,29
weigh,29
nail,29
quit,29
shed,29
match,28
manufacture,28
spray,28
delay,28
secure,28
